(1+1),(1+1)	1519.6733676608485
(1+1),(1+2)	1002.4686455420255
(1+1),(1+3)	749.3781483238062
(1+1),(1+4)	600.1234631665824
(2+2),(2+1)	927.5032517214997
(2+2),(2+2)	699.1749919548039
(2+2),(2+3)	557.0622057428645
(2+2),(2+4)	465.55550250656484
(2+1),(1+1)	1425.935340823445
(2+1),(1+2)	951.8279752631827
(2+1),(1+3)	721.7783356056353
(2+1),(1+4)	563.1985243749286
(3+3),(3+1)	678.3545956943719
(3+3),(3+2)	543.4378607734807
(3+3),(3+3)	451.47330416966616
(3+3),(3+4)	385.9101080050826
(3+1),(1+1)	1433.7926603271735
(3+1),(1+2)	969.92476044371
(3+1),(1+3)	728.5206942015336
(3+1),(1+4)	580.6789362502532
(4+4),(4+1)	536.6959766346783
(4+4),(4+2)	448.01815482082753
(4+4),(4+3)	384.1548938340879
(4+4),(4+4)	336.32401694789263
(4+2),(2+1)	913.3025725179787
(4+2),(2+2)	686.7364245159412
(4+2),(2+3)	548.7657203036553
(4+2),(2+4)	459.26285115099495
(4+1),(1+1)	1425.2011464923626
(4+1),(1+2)	969.6689057214996
(4+1),(1+3)	726.477385436709
(4+1),(1+4)	584.8460584432679
(5+1),(1+1)	1418.251212611156
(5+1),(1+2)	949.2792311980418
(5+1),(1+3)	727.7805424044225
(5+1),(1+4)	560.2646092848478
(6+3),(3+1)	664.6828521215165
(6+3),(3+2)	528.499616374058
(6+3),(3+3)	443.5875683291068
(6+3),(3+4)	381.1664196417064
(6+2),(2+1)	891.0929532858273
(6+2),(2+2)	666.5489682034381
(6+2),(2+3)	524.2825326492538
(6+2),(2+4)	443.9116110969712
(6+1),(1+1)	1378.1382487226874
(6+1),(1+2)	958.7885917530746
(6+1),(1+3)	722.34149979511
(6+1),(1+4)	545.47795981
(8+4),(4+1)	533.863724178927
(8+4),(4+2)	437.9202170963365
(8+4),(4+3)	374.2898532687016
(8+4),(4+4)	329.26950580733313
(8+2),(2+1)	890.8236113153896
(8+2),(2+2)	672.5676038030157
(8+2),(2+3)	543.8077755029375
(8+2),(2+4)	454.468253968254
(9+3),(3+1)	664.1744147342727
(9+3),(3+2)	536.0930585200996
(9+3),(3+3)	444.7880409126672
(9+3),(3+4)	384.78417721518986
(10+2),(2+1)	888.4184278665299
(10+2),(2+2)	679.8737745278166
(10+2),(2+3)	540.0093198315261
(10+2),(2+4)	297.57780802
