network data,network parity,local data,local parity,throughput
1,1,1,1,528.8
1,1,1,2,357.7
1,1,1,3,281.7
1,1,1,4,223.6
1,2,1,1,510.9
1,2,1,2,353.2
1,2,1,3,290.4
1,2,1,4,221.3
1,3,1,1,526.4
1,3,1,2,360.9
1,3,1,3,291.8
1,3,1,4,224.1
1,4,1,1,509.0
1,4,1,2,352.1
1,4,1,3,290.0
1,4,1,4,232.6
1,1,2,1,651.8
1,1,2,2,458.9
1,1,2,3,333.8
1,1,2,4,253.3
1,2,2,1,666.9
1,2,2,2,445.4
1,2,2,3,332.5
1,2,2,4,263.2
2,1,1,1,501.2
2,1,1,2,361.7
2,1,1,3,285.3
2,1,1,4,234.9
2,2,1,1,517.8
2,2,1,2,356.7
2,2,1,3,283.0
2,2,1,4,237.9
2,3,1,1,495.4
2,3,1,2,358.8
2,3,1,3,286.9
2,3,1,4,234.5
2,4,1,1,510.0
2,4,1,2,357.6
2,4,1,3,290.3
2,4,1,4,234.5
1,1,3,1,787.0
1,1,3,2,490.6
1,1,3,3,363.1
1,1,3,4,282.8
3,1,1,1,487.7
3,1,1,2,367.7
3,1,1,3,286.0
3,1,1,4,238.4
3,2,1,1,506.4
3,2,1,2,364.9
3,2,1,3,287.1
3,2,1,4,234.9
3,3,1,1,501.0
3,3,1,2,360.7
3,3,1,3,284.0
3,3,1,4,231.6
3,4,1,1,514.8
3,4,1,2,364.2
3,4,1,3,283.5
3,4,1,4,236.0
1,1,4,1,805.5
1,1,4,2,514.3
1,1,4,3,368.1
1,1,4,4,291.5
2,1,2,1,707.2
2,1,2,2,450.5
2,1,2,3,338.3
2,1,2,4,262.1
2,2,2,1,670.4
2,2,2,2,450.8
2,2,2,3,339.8
2,2,2,4,265.5
4,1,1,1,598.8
4,1,1,2,369.7
4,1,1,3,290.9
4,1,1,4,236.7
4,2,1,1,591.3
4,2,1,2,369.5
4,2,1,3,294.4
4,2,1,4,234.7
4,3,1,1,588.7
4,3,1,2,356.1
4,3,1,3,287.4
4,3,1,4,238.4
4,4,1,1,595.6
4,4,1,2,366.0
4,4,1,3,290.9
4,4,1,4,233.0
5,1,1,1,607.5
5,1,1,2,397.6
5,1,1,3,290.5
5,1,1,4,239.3
5,2,1,1,593.5
5,2,1,2,386.2
5,2,1,3,292.7
5,2,1,4,235.8
5,3,1,1,605.1
5,3,1,2,398.2
5,3,1,3,291.4
5,3,1,4,236.7
5,4,1,1,601.6
5,4,1,2,393.0
5,4,1,3,286.2
5,4,1,4,236.9
2,1,3,1,806.9
2,1,3,2,503.3
2,1,3,3,364.6
2,1,3,4,287.2
3,1,2,1,756.7
3,1,2,2,462.5
3,1,2,3,340.8
3,1,2,4,268.4
3,2,2,1,784.7
3,2,2,2,456.5
3,2,2,3,338.3
3,2,2,4,268.1
6,1,1,1,588.8
6,1,1,2,407.9
6,1,1,3,293.4
6,1,1,4,233.5
6,2,1,1,600.9
6,2,1,2,389.6
6,2,1,3,297.6
6,2,1,4,237.3
6,3,1,1,594.1
6,3,1,2,419.7
6,3,1,3,288.0
6,3,1,4,237.2
6,4,1,1,589.2
6,4,1,2,411.3
6,4,1,3,287.9
6,4,1,4,240.5
2,1,4,1,848.7
2,1,4,2,519.9
2,1,4,3,372.0
2,1,4,4,291.5
4,1,2,1,785.2
4,1,2,2,479.8
4,1,2,3,348.1
4,1,2,4,273.4
4,2,2,1,759.4
4,2,2,2,468.0
4,2,2,3,344.0
4,2,2,4,271.8
3,1,3,1,830.5
3,1,3,2,506.1
3,1,3,3,368.0
3,1,3,4,285.0
5,1,2,1,796.3
5,1,2,2,483.4
5,1,2,3,353.3
5,1,2,4,274.5
5,2,2,1,782.2
5,2,2,2,473.1
5,2,2,3,347.7
5,2,2,4,271.5
