data,parity,throughput
1,1,1176.762433
1,2,714.416629
1,3,550.283078
1,4,425.013379
1,5,351.395096
2,1,4985.1351
2,2,1042.769822
2,3,825.779563
2,4,679.213095
2,5,577.406062
3,1,13003.80817
3,2,4499.164611
3,3,1003.723861
3,4,845.562306
3,5,719.787869
4,1,7979.802444
4,2,5736.128549
4,3,3525.695099
4,4,970.011879
4,5,821.212613
5,1,14192.799972
5,2,5244.986818
5,3,4041.449885
5,4,2197.86784
5,5,908.088545
6,1,14205.391843
6,2,4978.205605
6,3,3897.650013
6,4,3279.359288
6,5,1022.633068
7,1,15886.347398
7,2,8568.459773
7,3,5590.995997
7,4,3236.079443
7,5,2759.156142
8,1,13237.006254
8,2,5356.256419
8,3,3319.623084
8,4,2442.946521
8,5,1441.01532
1,6,303.75046
2,6,498.225847
3,6,626.871696
4,6,722.16944
5,6,790.249216
6,6,2149.815079
7,6,2590.058512
8,6,2531.095994
9,1,7846.80728
9,2,5652.430366
9,3,4290.974539
9,4,3663.133067
9,5,3200.051724
9,6,2699.755697
10,1,5260.936339
10,2,4718.182284
10,3,4018.847706
10,4,3714.390872
10,5,3530.073559
10,6,3111.770215
1,7,280.219798
1,8,245.184495
1,9,213.482401
1,10,200.693182
2,7,466.446449
2,8,4.299315
2,9,2.528298
2,10,3.383049
3,7,9.150393
3,8,5.375901
3,9,509.204129
3,10,450.202681
4,7,676.438489
4,8,616.15272
4,9,542.365515
4,10,496.103797
5,7,821.955239
5,8,680.618039
5,9,623.129616
5,10,575.527894
6,7,2311.257072
6,8,726.641861
6,9,649.074518
6,10,594.929563
7,7,2400.321152
7,8,2129.882812
7,9,1406.916642
7,10,633.763422
8,7,2252.526466
8,8,1334.469569
8,9,705.46882
8,10,651.945976
9,7,2051.412062
9,8,1931.192076
9,9,1673.828171
9,10,1468.825706
10,7,1709.419044
10,8,1745.934311
10,9,45.779891
10,10,904.15894
11,1,4656.039498
11,2,4665.222854
11,3,4118.439895
11,4,3870.55617
11,5,3130.71018
11,6,2189.005098
11,7,1857.587636
11,8,1862.909907
11,9,1425.963128
11,10,1252.888292
12,1,4659.801071
12,2,4692.070108
12,3,4508.126817
12,4,4376.435592
12,5,3838.765976
12,6,3395.217284
12,7,1957.155778
12,8,1863.894591
12,9,1888.428751
12,10,1800.647559
13,1,4597.61598
13,2,4687.704208
13,3,4876.992919
13,4,4504.812414
13,5,4091.314291
13,6,3416.3484
13,7,1963.21883
13,8,2030.249348
13,9,1891.138203
13,10,1754.581006
14,1,4419.425696
14,2,5118.242904
14,3,5229.728697
14,4,4737.27642
14,5,3340.681757
14,6,2836.210428
14,7,1967.435024
14,8,2087.968587
14,9,1968.948398
14,10,1892.143103
15,1,4497.707655
15,2,5406.639792
