network data,network parity,local data,local parity,throughput
1,1,1,1,1034.2
2,1,1,2,758.6
1,1,3,3,699.3
2,1,2,1,1477.8
2,1,3,1,1630.4
2,1,4,2,1006.1
3,1,3,2,987.5
5,1,2,2,928.3
