k,l,r,p,throughput
1,1,1,1,2417.960399
1,1,1,2,1387.024931
1,1,1,3,1094.509586
1,1,1,4,900.822049
1,1,2,1,1444.094508
1,1,2,2,879.845251
1,1,2,3,709.725379
1,1,2,4,582.005091
1,1,3,1,1092.891087
1,1,3,2,658.241463
1,1,3,3,520.569048
1,1,3,4,436.246778
1,1,4,1,876.060747
1,1,4,2,513.497055
1,1,4,3,413.516795
1,1,4,4,346.128925
2,1,2,1,2817.101955
2,1,2,2,2040.982701
2,1,2,3,1615.581442
2,1,2,4,1331.004705
2,1,4,1,1704.416765
2,1,4,2,1278.535673
2,1,4,3,1027.820692
2,1,4,4,974.887013
2,2,1,1,3212.736825
2,2,1,2,1933.938663
2,2,1,3,1457.544526
2,2,1,4,1202.556935
2,2,2,1,2209.589229
2,2,2,2,1345.262655
2,2,2,3,1063.097881
2,2,2,4,884.037107
2,2,3,1,1692.477305
2,2,3,2,1050.986529
2,2,3,3,850.426092
2,2,3,4,683.965963
2,2,4,1,1362.1696
2,2,4,2,891.430359
2,2,4,3,700.267513
2,2,4,4,582.887776
3,1,3,1,2592.573273
3,1,3,2,1885.384532
3,1,3,3,1632.312316
3,1,3,4,1374.963798
3,3,1,1,3542.449728
3,3,1,2,2096.014006
3,3,1,3,1632.367929
3,3,1,4,1325.637584
3,3,2,1,2420.398401
3,3,2,2,1575.78565
3,3,2,3,1241.668929
3,3,2,4,1022.53563
3,3,3,1,1989.168501
3,3,3,2,1250.206062
3,3,3,3,981.507242
3,3,3,4,861.561331
3,3,4,1,1602.561267
3,3,4,2,1040.048415
3,3,4,3,897.242757
3,3,4,4,728.491211
4,1,4,1,2085.761962
4,1,4,2,1803.430243
4,1,4,3,1500.386872
4,1,4,4,1296.804056
4,2,2,1,3297.979779
4,2,2,2,2438.752954
4,2,2,3,1950.93074
4,2,2,4,1615.378753
4,2,4,1,2118.838551
4,2,4,2,1633.151198
4,2,4,3,1349.001114
4,2,4,4,1147.719574
4,4,1,1,3650.689872
4,4,1,2,2200.342251
4,4,1,3,1714.089736
4,4,1,4,1403.899797
4,4,2,1,2304.256259
4,4,2,2,1700.60379
4,4,2,3,1350.343393
4,4,2,4,1118.285274
4,4,3,1,2160.632915
4,4,3,2,1377.547944
4,4,3,3,1112.519052
4,4,3,4,925.807374
4,4,4,1,1722.090631
4,4,4,2,1146.316974
4,4,4,3,931.206412
4,4,4,4,831.164705
5,5,1,1,3697.945295
5,5,1,2,2231.394266
5,5,1,3,1802.178389
5,5,1,4,1406.823061
5,5,2,1,2794.014233
5,5,2,2,1790.002344
5,5,2,3,1424.356453
5,5,2,4,1182.310706
5,5,3,1,2204.739522
5,5,3,2,1461.730219
5,5,3,3,1179.647702
5,5,3,4,986.371613
5,5,4,1,1885.468468
5,5,4,2,1288.065584
5,5,4,3,1022.868654
5,5,4,4,862.422008
6,2,3,1,2933.550514
6,2,3,2,2311.866191
6,2,3,3,1814.562963
6,2,3,4,1632.577712
6,3,2,1,3487.137091
6,3,2,2,2583.209168
6,3,2,3,2079.257784
6,3,2,4,1737.059065
6,3,4,1,2388.818094
6,3,4,2,1869.189527
6,3,4,3,1556.355922
6,3,4,4,1328.674881
8,2,4,1,2548.741861
8,2,4,2,2088.612356
8,2,4,3,1764.070792
8,2,4,4,1529.954348
8,4,2,1,3570.556415
8,4,2,2,2694.089905
8,4,2,3,2178.719634
8,4,2,4,1805.733077
8,4,4,1,2405.377462
8,4,4,2,1905.887818
8,4,4,3,1597.458978
8,4,4,4,1369.506619
9,3,3,1,2918.374818
9,3,3,2,2332.397252
9,3,3,3,1972.454705
9,3,3,4,1693.763888
10,5,2,1,3432.441311
10,5,2,2,2680.923469
10,5,2,3,2125.172589
10,5,2,4,1797.806754
10,5,4,1,2257.283913
10,5,4,2,1837.484786
10,5,4,3,1563.21824
10,5,4,4,1351.839518
6,6,1,1,3545.262203
6,6,1,2,2188.563408
6,6,1,3,1722.325832
6,6,1,4,1476.463503
6,6,2,1,2887.233112
6,6,2,2,1816.943813
6,6,2,3,1499.892336
6,6,2,4,1242.563096
6,6,3,1,2394.032048
6,6,3,2,1593.205789
6,6,3,3,1288.992543
6,6,3,4,1079.676882
6,6,4,1,2005.627729
6,6,4,2,1337.43473
6,6,4,3,1112.06387
6,6,4,4,937.086688
7,7,1,1,3320.919323
7,7,1,2,2145.503858
7,7,1,3,1781.388406
7,7,1,4,1470.08588
7,7,2,1,2930.75901
7,7,2,2,1950.268823
7,7,2,3,1559.864871
7,7,2,4,1290.429238
7,7,3,1,2498.541116
7,7,3,2,1651.258464
7,7,3,3,1310.430186
7,7,3,4,1096.717611
7,7,4,1,2075.83587
7,7,4,2,1417.975959
7,7,4,3,1132.388272
7,7,4,4,982.885629
8,8,1,1,3394.979089
8,8,1,2,2248.757105
8,8,1,3,1796.335011
8,8,1,4,1483.73443
8,8,2,1,3044.521875
8,8,2,2,1989.515991
8,8,2,3,1594.484627
8,8,2,4,1319.336545
8,8,3,1,2496.065369
8,8,3,2,1683.199137
8,8,3,3,1367.709166
8,8,3,4,1147.48902
8,8,4,1,2058.309268
8,8,4,2,1456.639573
8,8,4,3,1172.997656
8,8,4,4,992.537132
9,9,1,1,3383.208213
9,9,1,2,2234.217728
9,9,1,3,1751.001524
9,9,1,4,1482.438302
9,9,2,1,2809.062584
9,9,2,2,1996.544213
9,9,2,3,1604.126417
9,9,2,4,1335.431475
9,9,3,1,2440.640678
9,9,3,2,1697.672713
9,9,3,3,1384.842387
9,9,3,4,1163.038511
9,9,4,1,2027.722394
9,9,4,2,1467.243969
9,9,4,3,1210.684158
9,9,4,4,1027.540639
10,10,1,1,3415.593126
10,10,1,2,2164.458115
10,10,1,3,1788.143769
10,10,1,4,1486.044943
10,10,2,1,2986.852157
10,10,2,2,1975.732608
10,10,2,3,1595.512165
10,10,2,4,1334.813901
10,10,3,1,2436.276332
10,10,3,2,1678.709359
10,10,3,3,1341.290311
10,10,3,4,1142.999443
10,10,4,1,2030.015676
10,10,4,2,1440.443193
10,10,4,3,1205.60567
10,10,4,4,1028.654261
11,11,1,1,3307.680591
11,11,1,2,2178.628277
11,11,1,3,1787.110039
11,11,1,4,1490.19657
11,11,2,1,2870.373383
11,11,2,2,1977.555099
11,11,2,3,1597.336228
11,11,2,4,1308.411367
11,11,3,1,2306.190228
11,11,3,2,1615.357754
11,11,3,3,1339.533053
11,11,3,4,1171.599144
11,11,4,1,1979.956234
11,11,4,2,1430.683006
11,11,4,3,1167.507015
11,11,4,4,1028.762901
12,3,4,1,2311.57278
12,3,4,2,1950.813572
12,3,4,3,1688.870501
12,3,4,4,1495.986396
12,4,3,1,2723.281215
12,4,3,2,2235.428921
12,4,3,3,1925.024453
12,4,3,4,1653.517719
12,6,2,1,3368.262639
12,6,2,2,2598.809746
12,6,2,3,2152.185154
12,6,2,4,1774.769966
12,6,4,1,2231.971448
12,6,4,2,1830.916778
12,6,4,3,1522.377744
12,6,4,4,1366.056457
12,12,1,1,3391.998297
12,12,1,2,2238.219341
12,12,1,3,1738.597424
12,12,1,4,1500.985772
12,12,2,1,2913.249545
12,12,2,2,1904.303179
12,12,2,3,1594.617715
12,12,2,4,1342.049705
12,12,3,1,2343.178719
12,12,3,2,1658.290242
12,12,3,3,1373.685348
12,12,3,4,1138.094652
12,12,4,1,1973.603349
12,12,4,2,1441.06231
12,12,4,3,1209.447616
12,12,4,4,1039.873605
64,8,8,1,806.849831
64,8,8,2,786.831397
64,8,8,3,752.694418
64,8,8,4,710.329129
64,8,8,5,687.116772
64,8,8,6,654.135121
64,8,8,7,600.673427
64,8,8,8,594.484703
24,12,2,1,3180.199401
24,12,4,1,2190.815096
24,12,6,1,1780.362673
24,12,8,1,1350.819925
24,12,10,1,1096.205205
24,12,12,1,1003.890245
6,2,3,5,1433.131907
6,2,3,6,1257.092829
6,2,3,7,1104.290528
6,2,3,8,1001.231348
