global data,global parity,local data,local parity,throughput
1,1,1,1,1523.7706485537562
2,1,1,2,978.8429667101827
3,3,3,3,451.224688348385
4,2,2,1,907.6644103060361
6,3,3,1,665.627965654264
8,4,4,2,438.16440498410935
9,3,3,2,536.0075538769163
10,2,2,2,677.7775930704018
