network_data,network_parity,local_data,local_parity,throughput
1,1,17,3,2057.257348
1,2,17,3,1391.700511
1,3,17,3,1090.033414
1,4,17,3,870.030359
1,5,17,3,693.692016
1,6,17,3,566.594687
1,7,17,3,491.430188
1,8,17,3,427.927436
1,9,17,3,385.370907
1,10,17,3,403.391666
2,1,17,3,2789.298557
2,2,17,3,2155.99606
2,3,17,3,1747.389671
2,4,17,3,1475.063747
2,5,17,3,1213.774338
2,6,17,3,1049.886253
2,7,17,3,939.264792
2,8,17,3,800.874329
2,9,17,3,763.980733
2,10,17,3,701.597717
3,1,17,3,3118.531928
3,2,17,3,2551.517259
3,3,17,3,2238.718014
3,4,17,3,1953.55087
3,5,17,3,1624.362386
3,6,17,3,1416.428256
3,7,17,3,1255.838087
3,8,17,3,1081.242366
3,9,17,3,986.320022
3,10,17,3,927.327594
4,1,17,3,3375.561655
4,2,17,3,2969.663739
4,3,17,3,2588.375394
4,4,17,3,2308.785344
4,5,17,3,1920.887117
4,6,17,3,1607.251994
4,7,17,3,1401.887792
4,8,17,3,1274.239034
