k,l,r,p,throughput
1,1,1,1,3545.128149
1,1,1,2,2285.262544
1,1,1,3,1845.008328
1,1,1,4,1549.495621
1,1,2,1,2340.320095
1,1,2,2,1738.12193
1,1,2,3,1469.61597
1,1,2,4,1275.066243
1,1,3,1,1900.683914
1,1,3,2,1481.946547
1,1,3,3,1286.565429
1,1,3,4,1138.294233
1,1,4,1,1586.910842
1,1,4,2,1288.689645
1,1,4,3,1139.328964
1,1,4,4,1030.983773
2,1,2,1,3551.781523
2,1,2,2,2841.766763
2,1,2,3,2317.867946
2,1,2,4,1968.527704
2,1,4,1,2280.946834
2,1,4,2,1961.456224
2,1,4,3,1712.153866
2,1,4,4,1508.062935
2,2,1,1,4017.049341
2,2,1,2,2539.241484
2,2,1,3,2024.09956
2,2,1,4,1657.36789
2,2,2,1,3153.980738
2,2,2,2,2174.055169
2,2,2,3,1778.570205
2,2,2,4,1498.492582
2,2,3,1,2543.120733
2,2,3,2,1843.849617
2,2,3,3,1561.971411
2,2,3,4,1339.46205
2,2,4,1,2104.004198
2,2,4,2,1597.156702
2,2,4,3,1377.434211
2,2,4,4,1208.83906
3,1,3,1,3085.567476
3,1,3,2,2548.97884
3,1,3,3,2200.947535
3,1,3,4,1906.802455
3,3,1,1,4141.627694
3,3,1,2,2601.322488
3,3,1,3,2053.413872
3,3,1,4,1695.726391
3,3,2,1,3261.25983
3,3,2,2,2217.756676
3,3,2,3,1809.33601
3,3,2,4,1513.634738
3,3,3,1,2693.253415
3,3,3,2,1924.87597
3,3,3,3,1614.142213
3,3,3,4,1382.659853
3,3,4,1,2230.392315
3,3,4,2,1672.246067
3,3,4,3,1435.417997
3,3,4,4,1251.715477
4,1,4,1,2583.516604
4,1,4,2,2200.955596
4,1,4,3,1942.300532
4,1,4,4,1719.984094
4,2,2,1,3757.464128
4,2,2,2,2930.658859
4,2,2,3,2396.888145
4,2,2,4,2015.185454
4,2,4,1,2503.520694
4,2,4,2,2095.301063
4,2,4,3,1806.60639
4,2,4,4,1585.251864
4,4,1,1,4177.459234
4,4,1,2,2604.432003
4,4,1,3,2057.938267
4,4,1,4,1689.738044
4,4,2,1,3264.134583
4,4,2,2,2211.187226
4,4,2,3,1811.996538
4,4,2,4,1526.238262
4,4,3,1,2705.908294
4,4,3,2,1934.936276
4,4,3,3,1654.523949
4,4,3,4,1387.292313
4,4,4,1,2223.505913
4,4,4,2,1675.14067
4,4,4,3,1431.586015
4,4,4,4,1241.967981
5,5,1,1,4071.531825
5,5,1,2,2530.777114
5,5,1,3,2022.78711
5,5,1,4,1673.460532
5,5,2,1,3266.062651
5,5,2,2,2223.523133
5,5,2,3,1814.456287
5,5,2,4,1525.237964
5,5,3,1,2679.089662
5,5,3,2,1925.564795
5,5,3,3,1613.953263
5,5,3,4,1384.498605
5,5,4,1,2338.811274
5,5,4,2,1741.28703
5,5,4,3,1476.302145
5,5,4,4,1288.730918
6,2,3,1,3237.55222
6,2,3,2,2647.162089
6,2,3,3,2273.466984
6,2,3,4,1956.925684
6,3,2,1,3755.507754
6,3,2,2,2927.455845
6,3,2,3,2386.732701
6,3,2,4,2007.55291
6,3,4,1,2673.123931
6,3,4,2,2209.005135
6,3,4,3,1890.932183
6,3,4,4,1652.480775
8,2,4,1,2749.604631
8,2,4,2,2332.213389
8,2,4,3,2037.730519
8,2,4,4,1795.9536
8,4,2,1,3815.181611
8,4,2,2,2976.037985
8,4,2,3,2417.706599
8,4,2,4,2032.381113
8,4,4,1,2658.565903
8,4,4,2,2213.005265
8,4,4,3,1890.248995
8,4,4,4,1650.661951
9,3,3,1,3097.465774
9,3,3,2,2557.78986
9,3,3,3,2207.305416
9,3,3,4,1904.289994
10,5,2,1,3590.654988
10,5,2,2,2823.086277
10,5,2,3,2321.859177
10,5,2,4,1968.189074
10,5,4,1,2420.695227
10,5,4,2,2046.531829
10,5,4,3,1771.710885
10,5,4,4,1559.453597
6,6,1,1,3476.575119
6,6,1,2,2212.140975
6,6,1,3,1793.023705
6,6,1,4,1445.417338
6,6,2,1,2840.611053
6,6,2,2,1857.974931
6,6,2,3,1461.630619
6,6,2,4,1216.393063
6,6,3,1,2345.690034
6,6,3,2,1539.034847
6,6,3,3,1254.938671
6,6,3,4,1054.795243
6,6,4,1,1953.820982
6,6,4,2,1334.984332
6,6,4,3,1087.241378
6,6,4,4,914.075593
7,7,1,1,3231.765687
7,7,1,2,2157.56312
7,7,1,3,1731.823748
7,7,1,4,1433.005259
7,7,2,1,2915.708073
7,7,2,2,1897.730879
7,7,2,3,1523.793894
7,7,2,4,1258.274489
7,7,3,1,2422.594018
7,7,3,2,1656.704372
7,7,3,3,1342.917548
7,7,3,4,1099.638987
7,7,4,1,2042.324914
7,7,4,2,1413.53109
7,7,4,3,1136.915446
7,7,4,4,982.44527
8,8,1,1,3464.680147
8,8,1,2,2161.578855
8,8,1,3,1751.056735
8,8,1,4,1449.101213
8,8,2,1,2965.615324
8,8,2,2,1972.910529
8,8,2,3,1553.096619
8,8,2,4,1290.092636
8,8,3,1,2508.208588
8,8,3,2,1678.038054
8,8,3,3,1363.73013
8,8,3,4,1144.444383
8,8,4,1,2059.39235
8,8,4,2,1416.237022
8,8,4,3,1194.002653
8,8,4,4,1008.806666
9,9,1,1,3429.407478
9,9,1,2,2179.457439
64,8,8,1,811.764267
64,8,8,2,802.653938
64,8,8,3,762.121015
64,8,8,4,730.03035
64,8,8,5,699.98916
64,8,8,6,657.165241
64,8,8,7,617.274759
64,8,8,8,592.208684
24,12,2,1,3080.820374
24,12,4,1,2297.64456
24,12,6,1,1793.948465
24,12,8,1,1354.320284
24,12,10,1,1139.971975
24,12,12,1,1000.591942
