data,parity,throughput
17,4,8792.032759
17,5,8573.353386
17,6,8733.448884
17,7,8576.218466
17,8,8673.050657
17,9,8565.578476
17,10,8578.591331
18,1,8484.335651
18,2,8437.485697
18,3,8441.469098
18,4,8307.553435
18,5,8426.880315
18,6,8313.405172
18,7,8416.682245
18,8,8283.826289
18,9,8345.426144
18,10,8376.248541
19,1,8175.598638
19,2,8173.052936
19,3,8425.285245
19,4,8126.383951
19,5,8396.113825
19,6,8149.421897
19,7,8097.818576
19,8,8138.539948
19,9,8074.583522
19,10,8221.499192
20,1,8044.522912
20,2,7976.400217
20,3,7970.110534
20,4,7984.428696
20,5,8070.671299
20,6,7930.615282
20,7,7999.019446
20,8,7935.929083
20,9,7895.523787
20,10,8000.625463
21,1,7866.027798
21,2,7855.04167
21,3,7726.786483
21,4,7738.250407
21,5,7809.301726
21,6,7734.80589
21,7,7743.294243
21,8,7735.104026
21,9,7758.224607
21,10,7766.600026
22,1,7740.166325
22,2,7600.924352
22,3,7597.351664
22,4,7692.993541
22,5,7745.599601
22,6,7625.836661
22,7,7645.565434
22,8,7508.254619
22,9,7690.03444
22,10,7688.301058
23,1,7415.411951
23,2,7474.558671
23,3,7549.732238
23,4,7415.506646
23,5,7380.083055
23,6,7377.687396
23,7,7419.025059
23,8,7358.343013
23,9,7388.197896
23,10,7399.40207
24,1,7318.054968
24,2,7254.107971
24,3,7224.833936
24,4,7222.711382
24,5,7284.357767
24,6,7201.744752
24,7,7230.458401
24,8,7173.439644
24,9,7236.98677
24,10,7192.927368
25,1,6956.287223
25,2,7099.053779
25,3,7079.879995
25,4,7021.376469
25,5,7082.210884
25,6,7016.872032
25,7,7006.397382
25,8,7048.086832
25,9,7046.949131
25,10,6983.423555
26,1,6919.108326
26,2,6906.274753
26,3,6884.532628
26,4,6881.689784
26,5,6913.426939
26,6,6904.28023
26,7,6872.284421
26,8,6896.041587
26,9,6813.763398
26,10,6859.159402
27,1,6736.68399
27,2,6769.39983
27,3,6763.524708
27,4,6748.328751
27,5,6701.358364
27,6,6707.932372
27,7,6733.817985
27,8,6713.332177
27,9,6674.881742
27,10,6642.797197
28,1,6575.468265
28,2,6582.071625
28,3,6544.658346
28,4,6583.502963
28,5,6559.392737
28,6,6597.532102
28,7,6586.564468
28,8,6522.354521
28,9,6631.105597
28,10,6623.747517
29,1,6520.108434
29,2,6526.507972
29,3,6512.970324
29,4,6530.221565
29,5,6473.08093
29,6,6441.308858
29,7,6433.782272
29,8,6505.441082
29,9,6434.859681
29,10,6466.572298
30,1,6369.815446
30,2,6184.613518
30,3,6348.746445
30,4,6379.714284
30,5,6333.205798
30,6,6296.420209
30,7,6322.25119
30,8,6138.476452
30,9,6342.263845
30,10,6291.068031
31,1,6195.390025
31,2,6193.413616
31,3,6209.426185
31,4,6219.936844
31,5,6175.512003
31,6,6159.902824
31,7,6147.397228
31,8,6166.216247
31,9,6160.865342
31,10,6175.831115
32,1,6045.250028
32,2,6084.021296
32,3,6004.617152
32,4,6054.476651
32,5,6042.876664
32,6,6076.79085
32,7,5995.970448
32,8,6018.456516
32,9,5980.861732
32,10,6068.308648
33,1,5603.962326
33,2,5575.935455
33,3,5543.173409
33,4,5455.796552
33,5,5569.268661
33,6,5378.399945
33,7,5419.444218
33,8,5399.403188
33,9,5441.833084
33,10,5343.154375
34,1,4776.637574
34,2,4768.016215
34,3,4778.28059
34,4,4765.092755
34,5,4744.379647
34,6,4776.677033
34,7,4732.62304
34,8,4720.937616
34,9,4763.712552
34,10,4730.886154
35,1,4410.343682
35,2,4461.902015
35,3,4495.379313
35,4,4457.16941
35,5,4426.597434
35,6,4414.855531
35,7,4367.095106
35,8,4394.611938
35,9,4405.56241
35,10,4420.530463
36,1,4234.946995
36,2,4249.093216
36,3,4241.44641
36,4,4262.61483
36,5,4264.571355
36,6,4221.088234
36,7,4190.685289
36,8,4179.922547
36,9,4178.482375
36,10,4171.074866
37,1,4074.146409
37,2,4013.520773
37,3,4062.863012
37,4,4030.492397
37,5,4059.595523
37,6,4006.564781
37,7,3989.634879
37,8,3980.036622
37,9,3968.758392
37,10,4030.523915
38,1,3833.049733
38,2,3831.275531
38,3,3829.057945
38,4,3867.481297
38,5,3816.771424
38,6,3849.755025
38,7,3773.247955
38,8,3789.144117
38,9,3794.973469
38,10,3793.578104
39,1,3715.336516
39,2,3728.248702
39,3,3648.429963
39,4,3712.402651
39,5,3709.305443
39,6,3702.824219
39,7,3700.630721
39,8,3648.902334
39,9,3656.233282
39,10,3626.428622
40,1,3617.915532
40,2,3595.742992
40,3,3608.569052
40,4,3625.399049
40,5,3549.849141
40,6,3623.039724
40,7,3576.300986
40,8,3604.39923
40,9,3608.38413
40,10,3575.862418
41,1,3543.993173
41,2,3508.07768
41,3,3529.134242
41,4,3495.157161
41,5,3539.468629
41,6,3527.055385
41,7,3467.495371
41,8,3510.31605
41,9,3502.385697
41,10,3499.571966
42,1,3426.147968
42,2,3420.321414
42,3,3450.384047
42,4,3407.587973
42,5,3418.664486
42,6,3441.715188
42,7,3404.108369
42,8,3389.023796
42,9,3403.269477
42,10,3421.242548
43,1,3356.68504
43,2,3343.881534
43,3,3389.111929
43,4,3375.324029
43,5,3382.63839
43,6,3338.286193
43,7,3303.964344
43,8,3357.442927
43,9,3356.884606
43,10,3370.744014
44,1,3298.685728
44,2,3328.668258
44,3,3305.998813
44,4,3316.886032
44,5,3293.089925
44,6,3291.859182
44,7,3324.026346
44,8,3294.801854
44,9,3315.028733
44,10,3293.335945
45,1,3270.035277
45,2,3285.657728
45,3,3258.473524
45,4,3282.656767
45,5,3271.962283
45,6,3284.173498
45,7,3268.542159
45,8,3262.955168
45,9,3277.72473
45,10,3278.185415
46,1,3250.509105
46,2,3249.446443
46,3,3240.338433
46,4,3247.881413
46,5,3250.184547
