k,l,r,p,throughput
1,2,1,1,nan
1,2,2,1,nan
1,2,3,1,nan
1,2,4,1,nan
1,2,5,1,nan
1,2,6,1,nan
1,2,7,1,nan
1,2,8,1,nan
1,2,9,1,nan
1,2,10,1,nan
2,2,1,1,4553.765921
2,2,2,1,3841.133147
2,2,3,1,3244.676412
2,2,4,1,2934.703765
2,2,5,1,2609.928718
2,2,6,1,2345.768227
2,2,7,1,2115.305968
2,2,8,1,1974.349474
2,2,9,1,1783.714986
2,2,10,1,1655.372031
3,2,1,1,nan
3,2,2,1,nan
3,2,3,1,nan
3,2,4,1,nan
3,2,5,1,nan
3,2,6,1,nan
3,2,7,1,nan
3,2,8,1,nan
3,2,9,1,nan
3,2,10,1,nan
4,2,1,1,6498.261554
4,2,2,1,5816.146746
4,2,3,1,5147.21937
4,2,4,1,4472.659557
4,2,5,1,3980.190323
4,2,6,1,3445.075354
4,2,7,1,3118.848068
4,2,8,1,2798.408525
4,2,9,1,2718.887597
4,2,10,1,2483.041794
5,2,1,1,nan
5,2,2,1,nan
5,2,3,1,nan
5,2,4,1,nan
5,2,5,1,nan
5,2,6,1,nan
5,2,7,1,nan
5,2,8,1,nan
5,2,9,1,nan
5,2,10,1,nan
6,2,1,1,6896.924562
6,2,2,1,6165.915224
6,2,3,1,5327.017436
6,2,4,1,4728.827191
6,2,5,1,4107.684572
6,2,6,1,3679.199367
6,2,7,1,3206.439014
6,2,8,1,2948.176695
6,2,9,1,2781.442121
6,2,10,1,2547.483115
7,2,1,1,nan
7,2,2,1,nan
7,2,3,1,nan
7,2,4,1,nan
7,2,5,1,nan
7,2,6,1,nan
7,2,7,1,nan
7,2,8,1,nan
7,2,9,1,nan
7,2,10,1,nan
8,2,1,1,6769.617154
8,2,2,1,6060.436938
8,2,3,1,5316.700344
8,2,4,1,4610.273695
8,2,5,1,4126.528767
8,2,6,1,3734.815254
8,2,7,1,2925.991922
8,2,8,1,2720.797142
8,2,9,1,2583.145786
8,2,10,1,2489.765221
9,2,1,1,nan
9,2,2,1,nan
9,2,3,1,nan
9,2,4,1,nan
9,2,5,1,nan
9,2,6,1,nan
9,2,7,1,nan
9,2,8,1,nan
9,2,9,1,nan
9,2,10,1,nan
10,2,1,1,6388.459327
10,2,2,1,5658.380436
10,2,3,1,4958.120252
10,2,4,1,4491.759902
10,2,5,1,3765.029202
10,2,6,1,3868.055574
10,2,7,1,2971.913831
10,2,8,1,2753.240218
10,2,9,1,2708.053674
10,2,10,1,2528.014547
11,2,1,1,nan
11,2,2,1,nan
11,2,3,1,nan
11,2,4,1,nan
11,2,5,1,nan
11,2,6,1,nan
11,2,7,1,nan
11,2,8,1,nan
11,2,9,1,nan
11,2,10,1,nan
12,2,1,1,6262.085425
12,2,2,1,5434.607353
12,2,3,1,5033.888403
12,2,4,1,4658.096205
12,2,5,1,3908.766174
12,2,6,1,3615.54468
12,2,7,1,2997.523972
12,2,8,1,2871.048448
12,2,9,1,2641.087503
