data	parity	throughput
19	3	6246.552229
19	4	5379.33345
19	5	4767.945764
19	6	4154.53317
19	7	2934.366801
19	8	2708.145239
19	9	2428.010076
19	10	2327.751401
20	1	9045.570207
20	2	7433.211352
20	3	6212.444984
20	4	5467.741771
20	5	4769.96232
20	6	4157.384331
20	7	2857.549864
20	8	2600.186754
20	9	2434.455741
20	10	2242.113149
21	1	8477.183557
21	2	7333.654565
21	3	6199.363851
21	4	5417.010759
21	5	4682.186855
21	6	3994.731871
21	7	2936.617113
21	8	2635.742832
21	9	2447.124795
21	10	2351.267786
22	1	8235.705967
22	2	6930.902105
22	3	5868.923843
22	4	5122.291424
22	5	4454.083425
22	6	3864.748053
22	7	2697.060768
22	8	2491.604847
22	9	2302.687146
22	10	2183.287879
23	1	8233.39351
23	2	6811.559384
23	3	5732.46081
23	4	5044.158248
23	5	4342.629567
23	6	3813.116508
23	7	2584.460849
23	8	2423.894481
23	9	2392.934872
23	10	2294.294568
24	1	7727.904662
24	2	6661.021732
24	3	5595.599306
24	4	4939.264815
24	5	4261.608727
24	6	3666.904918
24	7	2598.192687
24	8	2424.781976
24	9	2386.414159
24	10	2248.124399
25	1	7800.185414
25	2	6560.420849
25	3	5431.47906
25	4	4843.727118
25	5	4211.300678
25	6	3655.384857
25	7	2565.459973
25	8	2455.860538
25	9	2328.717609
25	10	2153.826981
26	1	7413.60106
26	2	6461.962895
26	3	5451.367102
26	4	4751.480164
26	5	4076.142893
26	6	3286.36853
26	7	2561.186691
26	8	2332.711307
26	9	2179.145762
26	10	2132.289155
27	1	7521.444206
27	2	6332.573534
27	3	5357.194912
27	4	4652.17652
27	5	3721.664133
27	6	2705.160067
27	7	2050.163098
27	8	1967.545635
27	9	1878.3939
27	10	1839.109101
28	1	7153.228267
28	2	6258.869507
28	3	5148.742371
28	4	4478.616672
28	5	2808.765127
28	6	1762.421661
28	7	1663.14936
28	8	1531.553894
28	9	1466.0141
28	10	1466.89889
29	1	7280.155613
29	2	6106.426698
29	3	4883.803185
29	4	2900.141964
29	5	1889.891099
29	6	1711.008598
29	7	1588.992432
29	8	1490.364407
29	9	1451.155215
29	10	1365.840287
30	1	6977.206588
30	2	5978.157946
30	3	3157.483621
30	4	2199.385369
30	5	1882.655383
30	6	1699.946527
30	7	1506.67883
30	8	1470.233604
30	9	1424.074162
30	10	1203.139159
31	1	6939.834221
31	2	4118.461609
31	3	2475.248613
31	4	2134.20034
31	5	1857.476848
31	6	1690.197103
31	7	1449.506889
31	8	1415.003697
31	9	1282.77128
31	10	1191.918635
32	1	6610.364493
32	2	3472.05675
32	3	2403.017025
32	4	2104.14555
32	5	1838.528192
32	6	1680.06114
32	7	1415.796313
32	8	1412.124036
32	9	1259.753636
32	10	1209.235659
33	1	5083.793644
33	2	3102.006679
33	3	2374.817822
33	4	2138.697804
33	5	1821.890304
33	6	1682.619677
33	7	1424.47502
33	8	1298.704378
33	9	1279.830017
33	10	1161.659409
34	1	4752.727615
34	2	3056.082784
34	3	2423.642802
34	4	2193.169166
34	5	1801.447022
34	6	1676.062664
34	7	1363.02778
34	8	1332.726039
34	9	1250.927671
34	10	1219.784923
35	1	4278.680794
35	2	3063.813992
35	3	2332.246912
35	4	2239.076453
35	5	1813.702738
35	6	1678.680084
35	7	1362.461991
35	8	1292.991491
35	9	1214.423259
35	10	1164.140993
36	1	4226.173832
36	2	3041.766306
36	3	2345.555697
36	4	2287.742674
36	5	1811.218231
36	6	1683.256045
36	7	1392.878004
36	8	1282.215059
36	9	1201.520502
36	10	1179.102554
37	1	4218.246782
37	2	3124.050366
37	3	2394.384376
37	4	2327.331817
37	5	1809.337921
37	6	1676.193492
37	7	1360.606612
37	8	1285.659708
37	9	1204.255755
37	10	1182.149061
38	1	4224.780842
38	2	3020.502467
38	3	2441.583381
38	4	2325.905168
38	5	1808.676996
38	6	1674.919922
38	7	1390.346234
38	8	1279.000194
38	9	1246.626288
38	10	1165.462896
39	1	4345.135375
39	2	3056.515384
39	3	2494.298876
39	4	2251.418176
39	5	1804.022252
39	6	1684.821107
39	7	1356.153494
39	8	1310.9463
39	9	1248.778807
39	10	1216.618781
40	1	4257.414291
40	2	3021.911495
40	3	2504.320495
40	4	2165.300982
40	5	1801.705066
40	6	1670.130694
40	7	1376.277458
40	8	1310.146029
40	9	1210.534138
40	10	1200.971854
41	1	4204.820994
41	2	2962.195505
41	3	2541.705131
41	4	2188.293315
41	5	1800.87928
41	6	1676.760168
41	7	1388.249873
41	8	1307.015709
41	9	1269.089332
41	10	1221.248576
42	1	4163.219014
42	2	2975.715017
42	3	2492.992692
42	4	2147.400163
42	5	1798.399348
42	6	1660.384677
42	7	1335.905876
42	8	1310.994794
42	9	1261.180601
42	10	1150.062456
43	1	4165.093331
43	2	3006.663625
43	3	2506.604259
43	4	2237.023719
43	5	1806.925959
43	6	1678.984698
43	7	1381.355058
43	8	1311.228311
43	9	1208.726335
43	10	1123.743731
44	1	4174.375351
44	2	2993.855873
44	3	2480.358315
44	4	2235.214661
44	5	1794.826056
44	6	1680.977194
44	7	1387.932191
44	8	1304.302539
44	9	1242.731203
44	10	1148.568604
45	1	4310.913411
45	2	3014.484783
45	3	2484.466267
45	4	2230.885009
45	5	1812.171514
45	6	1687.563711
45	7	1382.426732
45	8	1286.975155
45	9	1247.433633
45	10	1196.087915
46	1	4212.590848
46	2	3051.416727
46	3	2485.0082
46	4	2228.749938
46	5	1804.206657
46	6	1679.69332
46	7	1340.049936
46	8	1274.104065
46	9	1199.103189
46	10	1165.99895
47	1	4318.729052
47	2	3029.673014
47	3	2469.879847
47	4	2252.656804
47	5	1807.600179
47	6	1672.703104
47	7	1342.745164
47	8	1270.975523
47	9	1232.474811
47	10	1153.635956
48	1	4223.933841
48	2	3096.835054
48	3	2544.50982
48	4	2245.076989
48	5	1805.102812
48	6	1697.554147
48	7	1383.965326
48	8	1325.125573
48	9	1198.157649
48	10	1189.294243
49	1	4227.179132
49	2	3153.629439
49	3	2519.650152
49	4	2258.616673
49	5	1804.881712
49	6	1672.786303
49	7	1323.502451
49	8	1271.329371
49	9	1192.226428
49	10	1191.783152
50	1	4295.117892
50	2	3208.324324
50	3	2558.174092
50	4	2278.091524
50	5	1825.93628
50	6	1687.606122
50	7	1394.524362
50	8	1325.302793
50	9	1155.142696
50	10	1158.48592
1	11	977.93636
1	12	887.814979
1	13	810.49605
1	14	763.043961
1	15	703.61427
2	11	1799.477583
2	12	1649.822224
2	13	1501.047803
2	14	1423.784404
2	15	1349.35944
3	11	2374.337163
3	12	2176.715427
3	13	1940.207145
3	14	1857.680236
3	15	1721.69346
4	11	2587.084157
4	12	2460.072865
4	13	2204.876395
4	14	2078.442126
4	15	1960.397477
5	11	2684.566843
5	12	2545.429811
5	13	2211.778977
5	14	2073.580833
5	15	2013.929168
6	11	2667.012938
6	12	2431.097296
